sentences,labels
Are there any hardware diagnostic tools?,Software Recommendation
Install printer Lexmark X4690 (ubuntu 12.04),Setup Printer
PDF to word conversion software?,Software Recommendation
How to add a network printer on Ubuntu 15.10?,Setup Printer
Force upgrade 12.10 to 13.04,Make Update
Do I need to uninstall 10.04 to upgrade to 12.04?,Make Update
What are some good ASCII art generators?,Software Recommendation
Install Canon MP560 Ubuntu 15.04,Setup Printer
Is there LAN topology mapping software available in Ubuntu?,Software Recommendation
Shutdown problem in Ubuntu 16.04,Shutdown Computer
How to troubleshoot slow shutdown?,Shutdown Computer
How to upgrade from 16.04 LTS to 16.04.1 LTS,Make Update
How to upgrade from 14.04 LTS or 15.10 to 16.04 from terminal,Make Update
What is the command to open the shutdown dialog?,Shutdown Computer
Ho do I update to 13.04 from the beta?,Make Update
Applications to replace iTunes for iPod synchronization?,Software Recommendation
In Unity how do I see the details of a given launcher?,Software Recommendation
What is the proper terminal-way to shutdown?,Shutdown Computer
Update 11.04 to 12.04 with LiveCD,Make Update
Upgrade from 9.10 to 11.04,Make Update
Is there any recovery software available for ext4?,Software Recommendation
How to upgrade Ubuntu 9.10 to 12.10 via terminal?,Make Update
Upgrade to 12.04 64 bit,Make Update
How to Upgrade from 11.10 to 12.04 when you've got a problem?,Make Update
How can I install a Pantum 2502W laser printer on Ubuntu,Setup Printer
How to upgrade Ubuntu 14.04.1 to 14.04.2?,Make Update
How can I enable shutdown verbosity?,Shutdown Computer
Upgrade 12.04 to 12.10 using startup disk,Make Update
Upgrading from 10.04 to 11.10,Make Update
How to Install a Canon MF8040Cn Printer on Ubuntu 12.04,Setup Printer
What Is The Best HDR Software?,Software Recommendation
How to Shut down Ubuntu by using keyboard?,Shutdown Computer
How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?,Setup Printer
How can one shutdown a PC using the keyboard?,Shutdown Computer
Recommendation for Regex editor?,Software Recommendation
Please recommend a hex editor for shell,Software Recommendation
What new games are available for Ubuntu in 2011?,Software Recommendation
What do you use to edit Microsoft Word documents (docx)?,Software Recommendation
How do I setup my HP C4140 printer wirelessly?,Setup Printer
Can you recommend a good modern GUI download manager (wget wrapper?),Software Recommendation
Is there an upgrade procedure from 12.04 LTS to 14.04 LTS,Make Update
How to shutdown the computer after Xsession ends?,Shutdown Computer
Removing Recently used items in 12.04,Software Recommendation
How Do I Install Canon MF8000C Printer in Ubuntu 15.10?,Setup Printer
What graphical utility can I use for Ubuntu auto shutdown?,Shutdown Computer
How do I shut down without the confirmation prompt?,Shutdown Computer
How to shutdown computer when users are logged on?,Shutdown Computer
How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work,Setup Printer
Software to read a QR code?,Software Recommendation
Which programs can I use to edit PDF files?,Software Recommendation
Doubts regarding the 15.04 upgrade (is it inevitable and unavoidable?),Make Update
Which is the best PDF metadata viewer for Ubuntu?,Software Recommendation
Problems upgrading Ubuntu 12.10 to 13.04,Make Update
How do I install drivers for a Konica Minolta 200?,Setup Printer
Wubi Device /dev/loop0 full. How to get more space?,Software Recommendation
My system doesn't go shutdown,Shutdown Computer
UPNP / DLNA (client) player recommendations?,Software Recommendation
How to upgrade Ubuntu 12.04 to 14.04 if I have dual boot with windows 7?,Make Update
How to Install Brother DCP-8110DN Laser Printer on Ubuntu?,Setup Printer
Problem upgrading Ubuntu 9.10,Make Update
Upgrading from 10.10 to 11.04 how much space is needed?,Make Update
How to upgrade from 12.10 to 14.04,Make Update
Is there an SSH connection manager?,Software Recommendation
Upgrading from ubuntu 12.04 to 13.10,Make Update
Upgrade from 12.04 to 12.10 without losing files?,Make Update
Upgrade 10.10 to 11.04,Make Update
What are some good GUI binary viewers/editors?,Software Recommendation
Installing Epson XP-424 wireless printer,Setup Printer
What scientific plotting software is available?,Software Recommendation
What developer text editors are available for Ubuntu?,Software Recommendation
Is it worth upgrading from 12.04 LTS to 13.04,Make Update
How can i upgrade to Ubuntu 14.04 final from 14.04 Beta correctly?,Make Update
Cannot setup HP All in one DJ3630,Setup Printer
Extracting embedded images from a PDF,Software Recommendation
Can you recommend a password generator?,Software Recommendation
Why did the upgrade from 11.10 to 12.04 ruin my system?,Make Update
shut down without extra question,Shutdown Computer
Any app that tells me to take regular breaks from working?,Software Recommendation
Cannot install printer driver epson l210,Setup Printer
Is there any program for fuzzy string matching which provides a match score?,Software Recommendation
Is any offline upgrade from 13.10 to 14.04 possible?,Make Update
How do I install Dell 2150cdn printer,Setup Printer
What's the best Mind Mapping Software?,Software Recommendation
Problems upgrading from 12.04 to 14.04,Make Update
How to upgrade from Ubuntu 10.10 to 11.04?,Make Update
Is it necessary to upgrade to 15.10 from 14.04?,Make Update
Is there an application for reading mobi files?,Software Recommendation
Any command line calculator for Ubuntu?,Software Recommendation
How can I shutdown the computer when a certain process ends?,Shutdown Computer
Do I need to backup my 12.04 system to upgrade to 12.04.1?,Make Update
Ubuntu upgrade failed,Make Update
What to use to quickly cut Audio/Video,Software Recommendation
What IDEs are available for Ubuntu?,Software Recommendation
Upgrading From 11.04 (32bit) to 12.04 (64bit),Make Update
What blog editor software are available?,Software Recommendation
Upgrading Ubuntu Server 9.10 to 10.04,Make Update
No action when shutdown pressed,Shutdown Computer
How to setup HP printer/scanner on ubuntu?,Setup Printer
What software can I use to view epub documents?,Software Recommendation
How to install a Lexmark z600 series printer?,Setup Printer
How to install a Brother MFC-5890CN network printer?,Setup Printer
Is there a lightweight tool to crop images quickly?,Software Recommendation
Is there a Linux file manager with a proper drop-down tree view? (like finder in OS X),Software Recommendation
Shutdown after a certain time,Shutdown Computer
Do I need to reinstall everything to upgrade from 13.10 to 14.10?,Make Update
How to install Canon LBP330 in Lts 16.04,Setup Printer
Hotkey to shut down from login screen?,Shutdown Computer
How do I install the HP F4280 printer?,Setup Printer
Upgrading from 11.10 to 12.04,Make Update
On really old Ubuntu 6.06 - How to upgrade,Software Recommendation
Ubuntu Shut down app,Shutdown Computer
Are there any Keyboard Shortcuts to Shutdown?,Shutdown Computer
MySQL GUI Tools,Software Recommendation
What tools do you use to monitor a web server?,Software Recommendation
